"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1698",2.658929,2.676786,2.613929,2.645714,790708800,2.271653
"1699",2.646429,2.695,2.612857,2.692143,829082800,2.311517
"1700",2.661786,2.72,2.6475,2.6725,683883200,2.294652
"1701",2.657857,2.68,2.636071,2.650714,466958800,2.275947
"1702",2.635714,2.681429,2.626071,2.665357,438222400,2.288519
"1703",2.662143,2.663571,2.61,2.636071,531588400,2.263373
"1704",2.622143,2.642143,2.592857,2.615357,571855200,2.245589
"1705",2.628929,2.6925,2.628571,2.687857,592855200,2.307838
"1706",2.701071,2.745714,2.669286,2.679286,684196800,2.30048
"1707",2.685357,2.71,2.671071,2.692857,508692800,2.312131
"1708",2.68,2.688214,2.644286,2.653214,480925200,2.278094
"1709",2.669643,2.691786,2.639643,2.661786,1133907600,2.285453
"1710",2.830714,2.855357,2.791429,2.821071,1512977200,2.422218
"1711",2.820357,2.856786,2.809643,2.855357,639413600,2.451657
"1712",2.856786,2.925,2.848214,2.909286,832507200,2.49796
"1713",2.900357,2.917143,2.864286,2.894643,463212400,2.485388
"1714",2.905357,2.928571,2.893214,2.917143,485214800,2.504707
"1715",2.925,2.95,2.8975,2.935357,432756800,2.520345
"1716",2.919643,2.944643,2.8575,2.871786,594966400,2.465763
"1717",2.856786,2.889286,2.839286,2.872143,499917600,2.466069
"1718",2.908929,2.917143,2.865357,2.895714,501474400,2.486308
"1719",2.896429,2.906429,2.798571,2.827143,611192400,2.427431
"1720",2.818571,2.832857,2.803571,2.820714,465483200,2.421911
"1721",2.834286,2.840357,2.778214,2.796071,431888800,2.400753
"1722",2.819643,2.859286,2.801071,2.846786,434576800,2.444297
"1723",2.873214,2.892857,2.861786,2.875357,525932400,2.468828
"1724",2.857857,2.953214,2.853214,2.944643,690916800,2.528319
"1725",2.960714,3.024643,2.932857,2.976429,923053600,2.555611
"1726",2.983929,2.985714,2.946429,2.968571,373864400,2.548864
"1727",2.972143,3.016071,2.951429,3.0125,450674000,2.586582
"1728",3.028571,3.035714,2.996429,3.035714,588954800,2.606514
"1729",3.0375,3.067857,3,3.001786,655323200,2.577383
"1730",3.031071,3.082143,3.022143,3.0575,693940800,2.625219
"1731",3.040714,3.069286,3.035714,3.066071,466424000,2.632579
"1732",3.05,3.107143,3.042857,3.088214,570794000,2.651592
"1733",3.122143,3.164286,3.111071,3.164286,622666800,2.716908
"1734",3.178214,3.241071,3.1375,3.225357,671941200,2.769345
"1735",3.1975,3.324286,3.196429,3.2725,518677600,2.809822
"1736",3.303929,3.327143,3.196429,3.197857,1074836000,2.745732
"1737",3.227143,3.284643,3.211071,3.278929,1036173600,2.815343
"1738",3.321429,3.326786,3.223214,3.278571,1157083200,2.815035
"1739",3.293214,3.31,3.252143,3.273571,870486400,2.810742
"1740",3.278571,3.2975,3.217857,3.261429,795079600,2.800317
"1741",3.281429,3.2875,3.232143,3.254286,709536800,2.794183
"1742",3.273214,3.2975,3.245357,3.259643,662838400,2.798783
"1743",3.237143,3.263929,3.2025,3.208214,638184400,2.754625
"1744",3.215357,3.232143,3.103571,3.108571,1004827600,2.66907
"1745",3.115357,3.1925,3.107143,3.152143,784277200,2.706482
"1746",3.175,3.189286,3.144643,3.169643,499780400,2.721507
"1747",3.164643,3.172857,3.054643,3.076429,1026620000,2.641472
"1748",3.141071,3.181071,3.1125,3.180357,857052000,2.730707
"1749",3.180357,3.214286,3.152143,3.1625,832330800,2.715374
"1750",3.179286,3.186429,3.118929,3.132857,739939200,2.689923
"1751",3.129643,3.142857,3.021071,3.0525,721576800,2.620927
"1752",3.026071,3.095714,2.986429,3.0825,911405600,2.646685
"1753",3.088214,3.095357,3.026429,3.027143,567691600,2.599154
"1754",3.025,3.052857,2.935714,2.960714,903599200,2.542118
"1755",2.980714,3.001429,2.914286,2.935714,613303600,2.520652
"1756",2.933929,2.948929,2.888929,2.911071,490688800,2.499493
"1757",2.791071,2.928571,2.741786,2.911429,1935754800,2.499801
"1758",2.865,2.901786,2.844643,2.888214,1119876800,2.479868
"1759",2.998214,3.05,2.977143,3.03,1076429200,2.601607
"1760",3.081786,3.092143,2.925,2.992857,1238319600,2.569716
"1761",3.001786,3.069643,2.993571,3.059286,847260400,2.626753
"1762",3.063214,3.078571,3.014286,3.0375,834741600,2.608047
"1763",3.07,3.090357,3.045714,3.0525,797106800,2.620927
"1764",3.0875,3.320714,3.041071,3.306071,3349298400,2.838647
"1765",3.383929,3.492857,3.3375,3.464286,2952880000,2.974493
"1766",3.426429,3.456429,3.396429,3.421429,1440252800,2.937695
"1767",3.378214,3.395,3.329643,3.379286,1312690400,2.901511
"1768",3.417143,3.473214,3.408929,3.467857,1244076400,2.977559
"1769",3.484286,3.485714,3.386429,3.391071,1646260000,2.911629
"1770",3.289286,3.289643,3.180357,3.181071,2364605600,2.731319
"1771",3.165357,3.201786,3.147143,3.160714,1364473600,2.713841
"1772",3.183571,3.184286,3.058929,3.099643,1454026000,2.661404
"1773",3.061786,3.125357,3.053929,3.060714,1207424400,2.62798
"1774",3.095714,3.1125,3.074286,3.096429,927813600,2.658646
"1775",3.111071,3.160714,3.0725,3.080357,905973600,2.644845
"1776",3.111071,3.120357,3.035357,3.049286,986874000,2.618167
"1777",3.082143,3.094643,3.054643,3.069286,901664400,2.635339
"1778",3.086786,3.088929,3.044643,3.055357,577970400,2.623379
"1779",3.030714,3.071429,3.0125,3.061786,856069200,2.6289
"1780",3.079643,3.081071,3.026429,3.026429,664342000,2.598541
"1781",3.004286,3.044643,2.989286,3.026786,621530000,2.598848
"1782",3.010714,3.043929,2.997857,2.997857,578852400,2.574009
"1783",3.016071,3.016786,2.959286,3.005357,864393600,2.580449
"1784",3.017143,3.085,2.983929,3.076786,1066825200,2.641779
"1785",3.051071,3.089643,3.050357,3.077857,679030800,2.642698
"1786",3.067143,3.078571,2.971786,2.973929,860540800,2.553464
"1787",3.015357,3.042143,2.986786,3.031429,724071600,2.602835
"1788",3.041429,3.046071,3.010714,3.025,580986000,2.597315
"1789",3.0225,3.058571,3.020357,3.046429,507981600,2.615713
"1790",3.051429,3.057857,3.027857,3.043214,363661200,2.612952
"1791",3.044643,3.050357,3.023571,3.029643,399868000,2.601301
"1792",3.023214,3.077143,3.005714,3.067857,617702400,2.634112
"1793",3.070714,3.196071,3.07,3.185714,1155313600,2.735306
"1794",3.242857,3.243214,3.161786,3.196786,838224800,2.744813
"1795",3.184286,3.226429,3.173214,3.181071,517893600,2.731319
"1796",3.208571,3.214286,3.128929,3.161071,615848800,2.714147
"1797",3.082143,3.11,2.978929,2.9975,1145813200,2.573702
"1798",2.964286,3.057143,2.964286,3.021786,919475200,2.594555
"1799",3.001071,3.153929,2.991071,3.109286,1415528800,2.669684
"1800",3.098929,3.126429,3.043214,3.050357,860000400,2.619087
"1801",3.0675,3.166071,3.062857,3.082857,838899600,2.646992
"1802",3.135714,3.153929,3.121429,3.149643,723186800,2.704335
"1803",3.144643,3.1775,3.123214,3.132857,626284400,2.689923
"1804",3.163929,3.168571,3.123571,3.142857,511011200,2.698508
"1805",3.171429,3.173214,3.121429,3.141786,451836000,2.697589
"1806",3.145357,3.213929,3.1425,3.209643,729408400,2.755852
"1807",3.193214,3.235714,3.157143,3.157143,867890800,2.710775
"1808",3.164286,3.214286,3.14,3.214286,796586000,2.75984
